date,adj_close,close,high,low,open,volume,ticker,pe,roe,de,revenue_growth_yoy,profit_margin,dividend_yield,market_cap,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2021-01-01,252.97805786132812,265.79998779296875,269.0,265.0,269.0,838758,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,22.75,0.0,0.012362592466615085,-0.0028137311361744466,0.20699468515941033,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2021-01-04,250.43211364746094,263.125,268.2250061035156,262.5,267.1000061035156,1264282,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,26.969999313354492,0.0,-0.013568508301948556,-0.0100639123996209,0.23316748161215478,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0100639123996209,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-05,251.09837341308594,263.82501220703125,268.42498779296875,261.5249938964844,262.125,1637498,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,25.34000015258789,0.0,0.004470397562161832,0.00266037893408555,0.23291943962553263,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.00266037893408555,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-06,248.52857971191406,261.125,266.5,259.0249938964844,264.95001220703125,1129378,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,25.06999969482422,0.0,0.044162990618273446,-0.010234102462250538,0.16580800030176007,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.010234102462250538,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-07,257.0706481933594,270.1000061035156,275.5,262.5,264.5,6399536,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,22.3700008392334,0.0,0.014426247018282545,0.03437053558072045,0.1756625968324132,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.03437053558072045,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-08,256.28546142578125,269.2749938964844,273.625,267.5,272.5,1440918,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,21.559999465942383,0.0,-0.000646427195166166,-0.0030544694127665473,0.16070450620226148,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0030544694127665473,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-11,252.3356475830078,265.125,272.0,263.5,269.8999938964844,1943318,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,24.079999923706055,0.0,0.0032341649813383277,-0.015411731466159595,0.1682009376193211,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.015411731466159595,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-12,253.382568359375,266.2250061035156,268.5249938964844,263.7250061035156,266.20001220703125,1063680,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,23.329999923706055,0.0,0.010315915219276883,0.004149009348479504,0.16686655363198777,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.004149009348479504,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-13,252.00253295898438,264.7749938964844,272.0,262.20001220703125,266.8999938964844,1828960,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,22.209999084472656,0.0,-0.0006381766964356217,-0.0054465665275164055,0.1486125413681511,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0054465665275164055,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-14,251.09837341308594,263.82501220703125,266.04998779296875,262.0,265.3500061035156,1229884,CDSL.NS,62.440426,28.138999999999996,0.0013900000000000002,-4.8,39.777002,87.0,295714095104,23.25,0.0,0.004469967784564544,-0.0035878829623333663,0.14615939406436396,55.0,,50.0,,,0.0,9.69,75.62,75.0,11.06,0.61,RECOVERY,56.98,True,0.28546269230769233,,15.157488024644369,13.197524040104316,17.117452009184422,1.3125811448216829,,,,0.4437778170435096,0.2506157542615415,0.30560642869494903,-0.1625,-0.1618524649153274,32.15079170135103,False,False,"📊 BALANCED SCENARIO
Components aligned: F=62%, T=5%, M=81%",17.655938884903847,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0035878829623333663,-0.0,0.0,0.0,-0.0,1.0,0.0
