date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2021-01-01,331.09503173828125,357.8500061035156,371.0,350.3999938964844,358.20001220703125,1540965,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.443898886169766,15.0,0.005080821253407031,0.005080821253407031,-0.009110063718983485,-0.2603444046270812,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2021-01-04,337.793701171875,365.0899963378906,369.9800109863281,352.0,359.29998779296875,1489445,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.857518072320076,15.0,-0.013613983822124975,-0.013613983822124975,0.020231913122507272,-0.24386992221934273,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.020231913122507272,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-05,333.5653991699219,360.5199890136719,371.3699951171875,358.0,362.0,594020,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.596434472901727,15.0,0.006887328746690624,0.006887328746690624,-0.012517481634827354,-0.2569052341935184,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.012517481634827354,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-06,330.10498046875,356.7799987792969,364.4100036621094,352.2200012207031,362.3900146484375,506840,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.382769582912296,15.0,0.005978513184986323,0.005978513184986323,-0.010373877588887748,-0.21424916286958143,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.010373877588887748,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-07,334.4628601074219,361.489990234375,365.20001220703125,353.6000061035156,360.0199890136719,590060,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.651850447576265,15.0,0.014857498305214323,0.014857498305214323,0.013201388730290642,-0.20079327724144108,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.013201388730290642,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-08,330.6694030761719,357.3900146484375,364.6000061035156,355.3900146484375,364.5,376320,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.417619666844004,15.0,0.005697714659280706,0.005697714659280706,-0.01134187860438196,-0.1830768759705626,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.01134187860438196,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-11,332.2978820800781,359.1499938964844,361.5899963378906,356.20001220703125,358.92999267578125,368395,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.518166927358568,15.0,-0.006740825836411779,-0.006740825836411779,0.004924533915079188,-0.1884539532103736,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.004924533915079188,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-12,333.57464599609375,360.5299987792969,365.6000061035156,357.4200134277344,360.79998779296875,824415,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.59700632879895,15.0,0.00021121912844268564,0.00021121912844268564,0.0038424193408457263,-0.18753565336595515,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0038424193408457263,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-13,340.6248779296875,368.1499938964844,373.0,359.2099914550781,363.5899963378906,997705,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,21.032335117486536,15.0,0.0026929787492038226,0.0026929787492038226,0.02113553696776327,-0.21326589683060104,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.02113553696776327,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-14,335.2030944824219,362.2900085449219,370.79998779296875,360.6000061035156,370.0,248920,CAMS.NS,3314025000.0,,4.376,,,,,,,,,,15.0,0.5,10.0,32.65325397364232,20.697555332776613,15.0,-0.003501980199372312,-0.003501980199372312,-0.015917385437225318,-0.18794630423694936,25.0,,50.0,,,0.0,0,88.27,35.0,4.14,0.18,LATE,47.71,True,0.15653076923076922,,4.919253323697967,2.9592893391579134,6.8792173082380215,1.1004121506237377,,,,0.4437404297286925,0.2528435497029587,0.3034160205683489,-0.25,-0.00012396574697893102,37.49249382602631,False,False,"📊 BALANCED SCENARIO
Components aligned: F=34%, T=12%, M=100%",5.308741038461538,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.015917385437225318,-0.0,0.0,0.0,-0.0,1.0,0.0
