date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2021-01-01,277.6235046386719,289.0,291.79998779296875,288.0199890136719,289.3999938964844,5820940,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,18.766233766233764,22.75,0.005080821253407031,0.005080821253407031,0.005007659109862228,0.12433939127926422,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2021-01-04,278.785888671875,290.2099914550781,293.6000061035156,289.0,292.3999938964844,5262530,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,18.844804639940136,26.969999313354492,-0.013613983822124975,-0.013613983822124975,0.004186821643868965,0.11651677157024201,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.004186821643868965,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-05,279.9002380371094,291.3699951171875,292.6000061035156,286.2900085449219,288.739990234375,6194675,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,18.920129553064122,25.34000015258789,0.006887328746690624,0.006887328746690624,0.003997118280777423,0.12583133100095015,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.003997118280777423,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-06,285.0107727050781,296.69000244140625,302.9800109863281,289.79998779296875,292.3900146484375,21223825,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,19.265584574117288,25.06999969482422,0.005978513184986323,0.005978513184986323,0.018258597018814715,0.18099647177135644,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.018258597018814715,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-07,286.16351318359375,297.8900146484375,301.9800109863281,296.0,298.79998779296875,8845040,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,19.343507444703732,22.3700008392334,0.014857498305214323,0.014857498305214323,0.004044666814373876,0.1805800604339216,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.004044666814373876,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-08,282.7148742675781,294.29998779296875,301.9599914550781,292.1499938964844,300.79998779296875,7844545,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,19.110388817725244,21.559999465942383,0.005697714659280706,0.005697714659280706,-0.012051517939282386,0.17067148379280928,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.012051517939282386,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-11,280.639892578125,292.1400146484375,296.79998779296875,290.3999938964844,296.4700012207031,5149790,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,18.97013082132711,24.079999923706055,-0.006740825836411779,-0.006740825836411779,-0.007339358593690171,0.17819689000969918,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.007339358593690171,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-12,284.4343566894531,296.0899963378906,299.3999938964844,290.79998779296875,292.1400146484375,9024105,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,19.226623138824067,23.329999923706055,0.00021121912844268564,0.00021121912844268564,0.013520851274710033,0.17421392715000442,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.013520851274710033,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-13,280.7263488769531,292.2300109863281,298.7099914550781,288.44000244140625,298.3999938964844,5903480,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,18.975974739371956,22.209999084472656,0.0026929787492038226,0.0026929787492038226,-0.013036527404855613,0.17162831285830948,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.013036527404855613,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-14,281.10101318359375,292.6199951171875,296.42999267578125,290.489990234375,293.69000244140625,5618095,IRCTC.NS,0.0,,3.85,,,,,,,,,,15.0,0.5,10.0,28.934814704677958,19.001298384232953,23.25,-0.003501980199372312,-0.003501980199372312,0.0013345108859390553,0.17069201239285986,40.0,,50.0,,,False,,48.92672659915618,46.96676261461613,50.886690583696236,1.011264624692903,43.92672659915618,,,0.4449160460716448,0.2512585323008018,0.3038254216275533,-0.1625,-0.0767862142498409,23.985120288405092,False,True,7.817565599999999,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0013345108859390553,0.0,0.0,0.0,0.0,1.0,0.0
