date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2019-01-02,20.674667358398438,20.674667358398438,21.0086669921875,19.920000076293945,20.406667709350586,174879000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2067.4667358398438,23.219999313354492,0.0010403109344623296,0.0010403109344623296,-0.06814899980682931,1.2670647728629838,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2019-01-03,20.02400016784668,20.02400016784668,20.626667022705078,19.825332641601562,20.46666717529297,104478000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2002.400016784668,25.450000762939453,-0.023862763357143546,-0.023862763357143546,-0.03147171266518323,1.2624483446935442,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-04,21.179332733154297,21.179332733154297,21.200000762939453,20.18199920654297,20.399999618530273,110911500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2117.9332733154297,21.3799991607666,0.03349573093196567,0.03349573093196567,0.0576973909120706,1.2895889803149747,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-07,22.33066749572754,22.33066749572754,22.44933319091797,21.183332443237305,21.447999954223633,113268000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2233.066749572754,21.399999618530273,0.007884644787735207,0.007884644787735207,0.05436123871697496,1.3111986003947456,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-08,22.356666564941406,22.356666564941406,22.93400001525879,21.801332473754883,22.797332763671875,105127500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2235.6666564941406,20.469999313354492,0.009395330155608672,0.009395330155608672,0.0011642764023440666,1.3219426584555019,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-09,22.568666458129883,22.568666458129883,22.899999618530273,22.097999572753906,22.366666793823242,81493500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2256.8666458129883,19.979999542236328,0.004673490899932853,0.004673490899932853,0.009482625353500751,1.3268105982977823,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-10,22.99799919128418,22.99799919128418,23.025999069213867,22.119333267211914,22.293333053588867,90846000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2299.799919128418,19.5,0.003527556141424526,0.003527556141424526,0.019023398389568458,1.3282846439085374,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-11,23.150667190551758,23.150667190551758,23.227333068847656,22.584667205810547,22.805999755859375,75586500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2315.066719055176,18.190000534057617,0.0003863029265658291,0.0003863029265658291,0.0066383165769237085,1.3294970376465705,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-14,22.293333053588867,22.293333053588867,22.833332061767578,22.266666412353516,22.825332641601562,78709500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2229.3333053588867,19.06999969482422,-0.0061009229392887665,-0.0061009229392887665,-0.03703280470952408,1.2921829561182312,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2019-01-15,22.961999893188477,22.961999893188477,23.253332138061523,22.299999237060547,22.333332061767578,90849000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,2296.1999893188477,18.600000381469727,0.011460809156886187,0.011460809156886187,0.029994027272290946,1.302952505143117,25.0,,50.0,,,0.0,0,80.37,35.0,0.18,0.01,LATE,49.94,True,0.16398461538461537,,8.723473379188858,6.763509394648804,10.683437363728913,1.105542016058578,,,,0.44563942679031004,0.25480106975263617,0.29955950345705373,-0.28350000381469725,0.20283077637010422,34.749251130520236,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=20%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
