date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2020-02-13,186.37547302246094,188.63999938964844,191.0500030517578,188.4199981689453,188.5,3132100,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,29.84810116924817,14.149999618530273,-0.0010669665544831286,-0.002652561843328849,-0.004328128867097325,0.6538337568455468,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2020-02-14,187.66978454589844,189.9499969482422,190.25,188.10000610351562,189.35000610351562,3599400,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,30.05537926396237,13.680000305175781,0.0016021140118473998,0.004334145547238766,0.006944431524768424,0.6553421453361613,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.006944431524768424,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-18,188.7960662841797,191.08999633789062,191.5,188.9199981689453,190.9499969482422,4957000,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,30.235758914223197,14.829999923706055,-0.0025769997081124263,-0.0037269248414091294,0.006001576246190021,0.6469709439224477,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.006001576246190021,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-19,190.55470275878906,192.8699951171875,193.9199981689453,191.8000030517578,192.0,3903200,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,30.517404290694223,14.380000114440918,0.00478123511131856,0.011911784432580452,0.00931497625940314,0.6553677565039396,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.00931497625940314,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-20,191.03883361816406,193.36000061035156,195.72000122070312,189.77000427246094,194.0,5451200,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,30.594936805435374,15.5600004196167,-0.004108246574168639,-0.010409569854012757,0.0025405999148095937,0.6265201554148204,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0025405999148095937,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-21,187.2251739501953,189.5,192.0399932861328,186.72000122070312,191.83999633789062,5242100,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,29.984177215189874,17.079999923706055,-0.010298267087080704,-0.022414458827521355,-0.0199627668502651,0.6557028833402976,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0199627668502651,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-24,183.70790100097656,185.94000244140625,187.14999389648438,178.7899932861328,178.7899932861328,8463300,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,29.42088646224782,25.030000686645508,-0.03316539880720826,-0.041331461277601345,-0.018786266799966977,0.6449927762173433,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.018786266799966977,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-25,179.09397888183594,181.27000427246094,189.97999572753906,179.42999267578125,188.47000122070312,11361100,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,28.681962701338755,27.850000381469727,-0.030302149756096908,-0.03199415706676556,-0.02511561852010269,0.6673449409668595,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.02511561852010269,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-26,176.7227325439453,178.8699951171875,182.6699981689453,174.25,176.5399932861328,13923100,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,28.302214417276502,27.559999465942383,-0.0036782149973914047,0.004551345627450631,-0.013239968548056424,0.6660514440857447,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.013239968548056424,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-27,170.0834503173828,172.14999389648438,178.3300018310547,170.0500030517578,172.2100067138672,9927300,CRM,9444000000.0,,1.58,,,,,,,,,,15.0,0.5,10.0,16.16899618805591,27.238923084886768,39.15999984741211,-0.044911686145666097,-0.05393743435387255,-0.03756919217390531,0.6815713121985718,40.0,,50.0,,,0.0,0,91.72,35.0,5.86,0.26,LATE,51.62,True,0.20808,,19.962220730366532,18.00225674582648,21.922184714906585,1.1717430309114487,,,,0.44693648767385985,0.25554268389356427,0.29752082843257593,-0.28350000381469725,0.2977452036398009,37.68522249329517,False,False,"📊 BALANCED SCENARIO
Components aligned: F=45%, T=8%, M=100%",9.381078719999998,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.03756919217390531,-0.0,0.0,0.0,-0.0,1.0,0.0
