date,pe,roe,de,f1_pe,f2_roe,f3_de,likelihood_L_j,drift_D_f,z_score,phi_z,decay_factor,f_score
2025-01-01,30.19966956418441,147.5741378722139,1.504953974927063,3.4404075038678275,1.0,0.3992089315849075,1.825965234443358,9.70673273607699,-3.0385749166272276,0.0011884999741122915,0.1917320028925154,0.022787348047425236
2025-01-02,30.15048735932279,147.99606025348777,1.5043352321737955,3.438829890675206,1.0,0.39930756360121444,1.8253588471703859,9.70673273607699,-2.990713189539423,0.0013916338616214855,0.1917320028925154,0.026682074758173302
2025-01-03,30.101305154461166,148.41798263476164,1.5037164894205282,3.4372497846860126,1.0,0.3994062443673264,1.8247514749662368,9.70673273607699,-2.9427737225165993,0.0016264304011500373,0.1917320028925154,0.031183875837777396
2025-01-06,30.052122949599543,148.8399050160355,1.5030977466672606,3.4356671780100103,1.0,0.3995049739193948,1.824143114683853,9.70673273607699,-2.8947562671636726,0.0018972651820431162,0.1917320028925154,0.03637664533713596
2025-01-07,30.00294074473792,149.26182739730936,1.5024790039139932,3.434082062719443,1.0,0.3996037522936071,1.8235337631611792,9.70673273607699,-2.8466605739018296,0.0022090220726892085,0.1917320028925154,0.04235402264304777
2025-01-08,29.953758539876297,149.68374977858323,1.5018602611607257,3.4324944308487937,1.0,0.3997025795261862,1.8229234172210642,9.70673273607699,-2.7984863919607093,0.0025671366410155425,0.1917320028925154,0.04922022498806743
2025-01-09,29.904576335014678,150.10567215985708,1.5012415184074581,3.4309042743945475,1.0,0.3998014556533911,1.8223120736711667,9.70673273607699,-2.7502334693710275,0.0029776408481585596,0.1917320028925154,0.0570909043712009
2025-01-10,29.855394130153055,150.52759454113095,1.5006227756541908,3.429311585314947,1.0,0.3999003807115165,1.821699729303858,9.70673273607699,-2.701901552956883,0.003447208638060623,0.1917320028925154,0.06609402165637433
2025-01-13,29.806211925291432,150.94951692240483,1.5000040329009232,3.4277163555297503,1.0,0.3999993547368932,1.8210863808961237,9.70673273607699,-2.65349038832799,0.003983201969160585,0.1917320028925154,0.07637072914725702
2025-01-14,29.75702972042981,151.37143930367867,1.4993852901476556,3.4261185769199836,1.0,0.4000983777658879,1.8204720252094653,9.70673273607699,-2.604999719871884,0.0045937167533307245,0.1917320028925154,0.08807625138370029
2025-01-15,29.707847515568186,151.79336168495254,1.4987665473943883,3.4245182413276942,1.0,0.4001974498349032,1.8198566589898035,1.0,-2.5564292907463644,0.00528762808271713,0.01999733375993093,0.010573846356847811
2025-01-16,29.658665310706567,152.2152840662264,1.4981478046411207,3.4229153405557007,1.0,0.4002965709803781,1.8192402789673752,1.1225727395107215,-2.5077788428712773,0.006074634038395912,0.02244768319869402,0.013636146044191472
2025-01-17,29.609483105844944,152.63720644750026,1.4975290618878534,3.4213098663673387,1.0,0.4003957412387873,1.8186228818566326,1.2453477362271668,-2.4590481169206266,0.006965297287171101,0.02490180560605175,0.017344847903349437
2025-01-20,29.56030090098332,153.05912882877413,1.4969103191345858,3.419701810486211,1.0,0.40049496064664186,1.8180044643561448,1.3683256466687164,-2.4102368523147604,0.007971083586209283,0.02735968314807204,0.021808632126548377
2025-01-21,29.5111186961217,153.48105121004798,1.4962915763813183,3.418091164595928,1.0,0.40059422924048926,1.8173850231484936,1.4915071305339966,-2.3613447872121482,0.009104396231480107,0.029821297766593806,0.027150491100402276
2025-01-22,29.461936491260076,153.90297359132185,1.495672833628051,3.4164779203398514,1.0,0.4006935470569127,1.8167645549001687,1.6148928507216327,-2.3123716585011462,0.010378605407366018,0.03228663117844916,0.03350902049342848
2025-01-23,29.412754286398453,154.32489597259573,1.4950540908747834,3.4148620693208334,1.0,0.4007929141325321,1.8161430562614664,1.7384834733505157,-2.263317201791952,0.011808071323818928,0.034755664874683595,0.04103973697470121
2025-01-24,29.36357208153683,154.74681835386957,1.4944353481215158,3.4132436031009545,1.0,0.4008923305040036,1.815520523866383,1.8622796677809095,-2.2141811514082264,0.013408159966750561,0.03722838011980055,0.04991640759492822
2025-01-27,29.31438987667521,155.16874073514344,1.4938166053682485,3.41162251320126,1.0,0.4009917962080196,1.814896954332509,1.9862821066354686,-2.1649632403787535,0.015195250239717562,0.039704757951012325,0.06033237327730478
2025-01-28,29.265207671813588,155.59066311641732,1.4931978626149809,3.4099987911014926,1.0,0.4010913112813092,1.8142723442609245,2.1104914658202123,-2.115663200429114,0.017186731243405622,0.04218477917749811,0.07250184622860738
2025-01-29,29.216025466951965,156.01258549769116,1.4925791198617135,3.408372428239823,1.0,0.40119087576063756,1.8136466902360888,2.2349084245462487,-2.066280761973062,0.019400988426899683,0.04466842437968532,0.08666115844381186
2025-01-30,29.166843262090342,156.43450787896504,1.491960377108446,3.4067434160125813,1.0,0.40129048968280673,1.8130199888257341,2.3595336653510577,-2.0168156541040787,0.02185737735416583,0.04715567390853064,0.1030699359008746
2025-01-31,29.11766105722872,156.85643026023888,1.4913416343551784,3.405111745773981,1.0,0.40139015308465514,1.8123922365807563,2.4843678741201725,-1.9672676045867687,0.024576183863523976,0.049646507884817725,0.12201217059591733
