date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2021-01-01,368.8980712890625,389.70001220703125,391.5,384.6000061035156,387.25,4461761,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,28.23913131935009,22.75,0.005080821253407031,0.005080821253407031,0.006456611366694176,0.49791895820979276,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2021-01-04,381.5827941894531,403.1000061035156,405.1000061035156,391.1000061035156,392.0,8872723,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,29.210145369819973,26.969999313354492,-0.013613983822124975,-0.013613983822124975,0.03438540794647316,0.4073225454178501,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.03438540794647316,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-05,374.1517639160156,395.25,401.0,391.6000061035156,400.0,6190435,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,28.641304347826086,25.34000015258789,0.006887328746690624,0.006887328746690624,-0.019474090758261453,0.3967885748504751,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.019474090758261453,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-06,380.2574768066406,401.70001220703125,407.3500061035156,395.75,397.20001220703125,7910567,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,29.108696536741395,25.06999969482422,0.005978513184986323,0.005978513184986323,0.0163188164630772,0.4965521279571128,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0163188164630772,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-07,383.7599792480469,405.3999938964844,413.1000061035156,403.1499938964844,404.0,10231006,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,29.376811151919156,22.3700008392334,0.014857498305214323,0.014857498305214323,0.009210808008505156,0.5091065274173714,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.009210808008505156,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-08,381.3460998535156,402.8500061035156,410.45001220703125,398.5,410.29998779296875,7559664,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,29.192029427790985,21.559999465942383,0.005697714659280706,0.005697714659280706,-0.006290053851406463,0.5000329128236647,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.006290053851406463,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-11,377.7489318847656,399.04998779296875,404.95001220703125,392.6499938964844,402.8500061035156,4822618,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,28.916665782099184,24.079999923706055,-0.006740825836411779,-0.006740825836411779,-0.009432836671151579,0.5153046621910767,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.009432836671151579,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-12,378.22222900390625,399.54998779296875,412.95001220703125,397.04998779296875,398.95001220703125,6708618,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,28.952897666157153,23.329999923706055,0.00021121912844268564,0.00021121912844268564,0.0012529758558954551,0.5407344826750602,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0012529758558954551,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-13,381.4407958984375,402.95001220703125,407.3999938964844,394.1499938964844,401.54998779296875,6885599,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,29.19927624688632,22.209999084472656,0.0026929787492038226,0.0026929787492038226,0.008509634633812713,0.5809618083134854,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.008509634633812713,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-14,375.2403869628906,396.3999938964844,405.6499938964844,394.0,404.3500061035156,4886430,JSWSTEEL.NS,423370000000.0,,3.45,,,,,,,,,,15.0,0.5,10.0,1.9958901197534074,28.724637238875676,23.25,-0.003501980199372312,-0.003501980199372312,-0.016255163449856225,0.5935167417055051,40.0,,50.0,,,False,,35.47280370519976,33.512839720659706,37.43276768973981,1.010339880534232,30.472803705199762,,,0.44704117417142913,0.25245866111615367,0.3005001647124172,-0.1625,0.08087814829263514,28.88811491590815,False,True,24.479999999999997,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.016255163449856225,-0.0,0.0,0.0,-0.0,1.0,0.0
