date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,r_asre_base,sigma_f,sigma_t,sigma_m,inv_vol_f,inv_vol_t,inv_vol_m,rating_velocity,rating_acceleration,accel_term,sma_200,trend_positive,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2020-01-02,27.95541000366211,37.13472366333008,37.33396530151367,36.88804626464844,37.286529541015625,16514072,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3713.472366333008,12.470000267028809,0.009351922893854558,0.0026506640629153644,-0.0010209763485271584,0.971794067240382,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2020-01-03,27.8054256439209,36.93548583984375,37.2296028137207,36.688804626464844,36.736244201660156,14922848,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3693.548583984375,14.020000457763672,-0.007572233484322677,-0.00871437788684215,-0.00536527012541288,1.0294942148407058,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-06,27.76970863342285,36.88804626464844,37.00189971923828,36.71726989746094,36.831119537353516,15771951,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3688.8046264648438,13.850000381469727,0.0038150521769082513,0.006222885184768989,-0.0012843901769971078,1.015890399606366,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-07,27.67685890197754,36.764705657958984,37.12523651123047,36.69829177856445,37.11574935913086,20108107,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3676.4705657958984,13.789999961853027,-0.0028117773480448305,-0.0019633314247989864,-0.0033436470396008833,1.018419380732365,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-08,27.898273468017578,37.05882263183594,37.21062469482422,36.764705657958984,36.774192810058594,16403507,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3705.8822631835938,13.449999809265137,0.005329536027487647,0.006491626576137444,0.007999981738281203,1.0190534785928855,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-09,27.77684211730957,36.89753341674805,37.25806427001953,36.80265808105469,37.25806427001953,21971895,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3689.7533416748047,12.539999961853027,0.006780649119067839,0.004299763550655866,-0.0043522487665146325,1.0197821772578783,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-10,28.20539093017578,37.466793060302734,37.5996208190918,36.97343444824219,36.9829216003418,21557357,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3746.6793060302734,12.5600004196167,-0.002877705369570993,0.0002919763517714724,0.01542812190519749,1.1061008331023403,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-13,28.148250579833984,37.390892028808594,37.73244857788086,37.20113754272461,37.59013366699219,15392405,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3739.0892028808594,12.319999694824219,0.006877347366428754,-0.00350195135860365,-0.0020258214086265047,1.095316635287167,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-14,28.619657516479492,38.0170783996582,38.02656555175781,37.286529541015625,37.40986633300781,20919160,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3801.7078399658203,12.390000343322754,-0.0015246225991427664,0.00605227550186882,0.016747029473572095,1.1300806233387537,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-15,29.04819679260254,38.58633804321289,38.776092529296875,38.11195373535156,38.13093185424805,23925800,PFE,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,25.224563583978306,3858.633804321289,12.420000076293945,0.0022598570981489097,0.008635740449561391,0.014973787242940961,1.1629473153843581,55.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4448956486267739,0.2543758048023754,0.3007285465708507,-0.28350000381469725,0.14815396824707291,24.29569817329682,False,False,50.0,50.0,0.0,36.64248616844804,30.94331003396549,inf,0.027290724635957588,0.032317163189792296,0.0,0.0,0.0,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
