date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,sma_200,trend_positive,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2010-01-19,12.657814979553223,16.31999969482422,16.469999313354492,15.84000015258789,16.059999465942383,181616500,BAC,,,,,,,,,,,,,,,,,,17.579999923706055,0.01249558409514262,0.012717571054253751,0.003690004003555236,1.2299066264823246,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-20,12.789668083190918,16.489999771118164,16.6299991607666,16.18000030517578,16.219999313354492,288741100,BAC,,,,,,,,,,,,,,,,,,18.68000030517578,-0.010168591984799025,-0.0026437284889599955,0.010416671536327193,1.2957416761621108,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-21,11.998555183410645,15.470000267028809,16.65999984741211,15.199999809265137,16.459999084472656,551285500,BAC,,,,,,,,,,,,,,,,,,22.270000457763672,-0.01922910223147567,-0.028495726590148096,-0.061855640888234587,1.3403453947717048,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-22,11.556461334228516,14.899999618530273,15.520000457763672,14.710000038146973,15.260000228881836,369620800,BAC,,,,,,,,,,,,,,,,,,27.309999465942383,-0.022291834662478194,-0.03274215858423002,-0.03684554871749912,1.3018443029012527,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-25,11.618511199951172,14.979999542236328,15.270000457763672,14.770000457763672,15.15999984741211,262351600,BAC,,,,,,,,,,,,,,,,,,25.40999984741211,0.0051277132431857275,0.005641777084028021,0.005369122533839699,1.3065667867686452,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-26,11.455633163452148,14.770000457763672,15.170000076293945,14.720000267028809,14.9399995803833,212380600,BAC,,,,,,,,,,,,,,,,,,24.549999237060547,-0.004190572092011791,-0.017531551144475577,-0.014018630900525797,1.3196543829556493,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-27,11.781391143798828,15.1899995803833,15.289999961853027,14.680000305175781,14.710000038146973,258716200,BAC,,,,,,,,,,,,,,,,,,23.139999389648438,0.0047571519904408,0.02426839521984303,0.028435958673167283,1.3340083798353062,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-28,11.920994758605957,15.369999885559082,15.59000015258789,15.010000228881836,15.399999618530273,232729500,BAC,,,,,,,,,,,,,,,,,,23.729999542236328,-0.01147229459368182,-0.004878083100768094,0.011849921668743102,1.2852936898278355,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-29,11.773634910583496,15.180000305175781,15.550000190734863,15.09000015258789,15.489999771118164,175135300,BAC,,,,,,,,,,,,,,,,,,24.6200008392334,-0.01086856690147009,-0.007002815397989193,-0.012361716447494286,1.2931416315246682,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-01,11.959772109985352,15.420000076293945,15.4399995803833,15.130000114440918,15.260000228881836,159503300,BAC,,,,,,,,,,,,,,,,,,22.59000015258789,0.015550779201385145,0.01692533125208384,0.015810261284140648,1.28286072159077,40.0,388.22556185757173,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
