date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2025-02-13,355.94000244140625,355.94000244140625,358.69000244140625,342.8500061035156,345.0,89441500,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,741.5416717529297,15.100000381469727,0.010557536581541571,0.010557536581541571,0.05773971683431944,2.5872005553347774,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2025-02-14,355.8399963378906,355.8399963378906,362.0,347.5,360.6199951171875,68277300,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,741.3333257039388,14.770000457763672,-4.9150054415414424e-05,-4.9150054415414424e-05,-0.0002809633725618932,2.8217691381978693,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-18,354.1099853515625,354.1099853515625,359.1000061035156,350.0199890136719,355.010009765625,51631700,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,737.7291361490886,15.350000381469727,0.0029358340027980656,0.0029358340027980656,-0.004861766535893763,2.770957415190052,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-19,360.55999755859375,360.55999755859375,367.3399963378906,353.6700134277344,354.0,67094400,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,751.1666615804037,15.270000457763672,0.0023549076262954216,0.0023549076262954216,0.018214714280444966,2.7668492328159644,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-20,354.3999938964844,354.3999938964844,362.29998779296875,348.0,361.510009765625,45965400,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,738.3333206176758,15.65999984741211,-0.00416032470826988,-0.00416032470826988,-0.01708454543992588,2.772779996492786,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-21,337.79998779296875,337.79998779296875,354.9800109863281,334.4200134277344,353.44000244140625,74058600,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,703.7499745686849,18.209999084472656,-0.017104102948802602,-0.017104102948802602,-0.046839747148427646,2.7972237344316326,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-24,330.5299987792969,330.5299987792969,342.3999938964844,324.70001220703125,338.1400146484375,76052300,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,688.6041641235352,18.979999542236328,-0.004550422471648163,-0.004550422471648163,-0.021521578674915554,2.7849085703001126,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-25,302.79998779296875,302.79998779296875,328.8900146484375,297.25,327.0199890136719,134228800,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,630.8333079020183,19.43000030517578,-0.004973177992678157,-0.004973177992678157,-0.0838955952220366,2.915226407159527,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-26,290.79998779296875,290.79998779296875,309.0,288.0400085449219,303.7099914550781,100118300,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,605.8333079020183,19.100000381469727,0.0005048259926943022,0.0005048259926943022,-0.039630120487999076,2.929765091834032,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2025-02-27,281.95001220703125,281.95001220703125,297.2300109863281,280.8800048828125,291.1600036621094,101748200,TSLA,19335000000.0,,0.12,,,,,,,,,,2.191472546314281,0.17585361606365452,10.0,2.1153348849237132,587.3958587646484,21.1299991607666,-0.01596190430433686,-0.01596190430433686,-0.030433204805490277,2.858947539874079,25.0,,50.0,,,True,0.16398461538461537,,13.049536543884667,11.089572559344614,15.00950052842472,1.0573863995104211,,,,0.3814699213163569,0.24537508107992412,0.3731549976037191,-0.28350000381469725,-0.862524541187569,29.027727514427404,False,False,5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
