date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,r_asre_base,sigma_f,sigma_t,sigma_m,inv_vol_f,inv_vol_t,inv_vol_m,rating_velocity,rating_acceleration,accel_term,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2020-12-30,59.91046142578125,64.4000015258789,64.91000366210938,64.3499984741211,64.80000305175781,6192000,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.631068331524006,22.770000457763672,0.0014267990940848296,-0.000538815001680959,-0.0009307719430018402,0.4131814910304427,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2020-12-31,60.180240631103516,64.69000244140625,64.7699966430664,64.01000213623047,64.33999633789062,6928600,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.701456903253943,22.75,0.005080821253407031,0.001463470990730631,0.004503119699629243,0.4211296018465613,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-04,59.30576705932617,63.75,64.69999694824219,63.16999816894531,64.69000244140625,11249900,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.473300970873787,26.969999313354492,-0.013613983822124975,-0.01630520440638883,-0.014530876579540553,0.4193386738608388,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-05,58.57083511352539,62.959999084472656,63.790000915527344,62.47999954223633,63.68000030517578,11005700,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.281553175842877,25.34000015258789,0.006887328746690624,0.006489399466443446,-0.012392171223958304,0.4112755444195281,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-06,58.430755615234375,62.56999969482422,63.349998474121094,61.90999984741211,62.27000045776367,8685400,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.186893129811704,25.06999969482422,0.005978513184986323,-0.017245348131660565,-0.006194399544465989,0.4124634218947176,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-07,58.89768600463867,63.06999969482422,63.7400016784668,62.849998474121094,62.849998474121094,7382800,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.308252353112675,22.3700008392334,0.014857498305214323,0.026954359142630002,0.007991050062948313,0.4200186212072148,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-08,59.18717956542969,63.380001068115234,63.540000915527344,62.90999984741211,63.18000030517578,7751700,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.383495404882337,21.559999465942383,0.005697714659280706,0.006465489145083714,0.004915195414476159,0.41728375134832785,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-11,58.860328674316406,63.029998779296875,63.56999969482422,62.84000015258789,62.95000076293945,6284700,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.298543393033222,24.079999923706055,-0.006740825836411779,-0.008259420896490122,-0.005522282785104582,0.42034862174185134,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-12,58.29068374633789,62.41999816894531,63.02000045776367,62.18000030517578,63.0,7758200,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.150484992462454,23.329999923706055,0.00021121912844268564,-0.004780962000341726,-0.009677941014841429,0.4217590229088288,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2021-01-13,57.954505920410156,62.060001373291016,62.59000015258789,61.970001220703125,62.31999969482422,8298000,ORCL,0.0,,1.03,,,,,,,,,,15.0,0.5,10.0,22.412689380468027,15.063107129439567,22.209999084472656,0.0026929787492038226,0.00635369083938242,-0.005767331083220029,0.41670810003305686,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.44105909676988836,0.25235103679609644,0.3065898664340152,-0.29000000953674315,-0.12445093104035425,15.842486348342755,False,False,50.0,50.0,1.9142538951304398,37.865215837671684,31.871484419383975,0.5223967429523546,0.026409462560229514,0.03137600956520896,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
