date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2020-02-13,1.027500033378601,1.027500033378601,1.065000057220459,1.0175000429153442,1.0299999713897705,8326800,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,102.75000333786011,14.149999618530273,-0.0010669665544831286,-0.0010669665544831286,-0.019093060289627872,2.587487522162104,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2020-02-14,1.0049999952316284,1.0049999952316284,1.0475000143051147,1.0049999952316284,1.027500033378601,6330800,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,100.49999952316284,13.680000305175781,0.0016021140118473998,0.0016021140118473998,-0.02189784663362837,2.5752162456672645,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.02189784663362837,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-18,1.0149999856948853,1.0149999856948853,1.0199999809265137,0.9900000095367432,1.002500057220459,5870400,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,101.49999856948853,14.829999923706055,-0.0025769997081124263,-0.0025769997081124263,0.009950239314132636,2.5236658903338656,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.009950239314132636,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-19,1.037500023841858,1.037500023841858,1.0674999952316284,0.9800000190734863,1.0149999856948853,10372400,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,103.75000238418579,14.380000114440918,0.00478123511131856,0.00478123511131856,0.022167525580375935,2.571781453644703,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.022167525580375935,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-20,1.034999966621399,1.034999966621399,1.0750000476837158,1.027500033378601,1.0399999618530273,6249200,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,103.49999666213989,15.5600004196167,-0.004108246574168639,-0.004108246574168639,-0.002409693651091449,2.5590397191528855,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.002409693651091449,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-21,1.0099999904632568,1.0099999904632568,1.0449999570846558,0.9975000023841858,1.0299999713897705,6782800,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,100.99999904632568,17.079999923706055,-0.010298267087080704,-0.010298267087080704,-0.024154567115350467,2.4997741390877004,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.024154567115350467,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-24,0.925000011920929,0.925000011920929,0.9825000166893005,0.925000011920929,0.9750000238418579,14265200,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,92.5000011920929,25.030000686645508,-0.03316539880720826,-0.03316539880720826,-0.08415839539101477,2.3273494361999294,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.08415839539101477,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-25,0.8899999856948853,0.8899999856948853,0.9474999904632568,0.887499988079071,0.9424999952316284,17791600,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,88.99999856948853,27.850000381469727,-0.030302149756096908,-0.030302149756096908,-0.03783786570268233,2.0387930721359417,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.03783786570268233,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-26,0.8475000262260437,0.8475000262260437,0.9049999713897705,0.8399999737739563,0.8949999809265137,18899200,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,84.75000262260437,27.559999465942383,-0.0036782149973914047,-0.0036782149973914047,-0.04775276421567454,2.0227938884522154,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.04775276421567454,-0.0,0.0,0.0,-0.0,1.0,0.0
2020-02-27,0.8675000071525574,0.8675000071525574,0.9075000286102295,0.7950000166893005,0.8075000047683716,15518000,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,86.75000071525574,39.15999984741211,-0.044911686145666097,-0.044911686145666097,0.023598796823139256,1.17470825345083,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.881016780342293,29.92105279580224,33.840980764882346,1.0037946569968381,26.881016780342293,,,0.4440217956529311,0.2538761690301369,0.30210203531693214,-0.28350000381469725,0.08368134417941123,32.5515688463368,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.023598796823139256,0.0,0.0,0.0,0.0,1.0,0.0
