ticker,name,date,r_asre,r_final,r_medallion,f_score,t_score,m_score,quality_tier,stock_category,dip_stage,market_context,signal,current_price,data_quality_score,error
OLAELEC.NS,Ola Electric,2026-05-20,13.2,18.3,13.2,53.5,5.0,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=5%, M=100%",📉 Poor,36.58,0.6966666666666667,
GEVERNOVA.NS,GE Vernova T&D,2026-05-20,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
RELIGARE.NS,Religare Enterprises,2026-05-20,38.2,45.0,38.2,67.8,10.3,40.0,N/A,N/A,BALANCED,N/A,📉 Poor,228.07,0.7142857142857143,
SBIN.NS,State Bank of India,2026-05-20,79.2,62.9,79.2,65.5,85.9,22.6,N/A,N/A,BALANCED,N/A,🚀 Strong,948.8,0.7142857142857143,
INDUSINDBK.NS,Indusind Bank,2026-05-20,57.0,54.7,57.0,65.5,72.9,35.3,N/A,N/A,BALANCED,N/A,➡️  Neutral,895.25,0.7416666666666667,
ETERNAL.NS,Eternal Ltd.,2026-05-21,73.9,56.4,73.9,66.5,17.4,44.5,N/A,N/A,BALANCED,N/A,📈 Good,243.34,0.7416666666666667,
MUTHOOTFIN.NS,Muthoot Finance Ltd.,2026-05-21,72.8,78.5,72.8,81.6,5.0,39.2,N/A,N/A,EARLY,"🎯 HIGH QUALITY DIP (Score: 81/100)
Stage: EARLY - Excellent entry timing
F=82%, T=5%, M=39%
Expected upside: 17.0% | R/R: 1.92",📈 Good,3309.3,0.7416666666666667,
MCX.NS,Multi Commodity Exchange,2026-05-21,30.5,57.1,30.5,81.6,26.0,22.7,N/A,N/A,BALANCED,N/A,📉 Poor,3441.7,0.75,
CGPOWER.NS,CG Power & Industrial,2026-05-21,17.3,27.9,17.3,61.2,93.5,95.1,N/A,N/A,BALANCED,N/A,📉 Poor,853.25,0.75,
WAAREEENER.NS,Waaree Energies Ltd.,2026-05-21,20.0,77.8,20.0,81.6,11.3,92.9,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=93%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.66",📉 Poor,3005.2,0.6383333333333333,
SHRIRAMFIN.NS,Shriram Finance Ltd.,2026-05-21,27.3,70.1,27.3,75.4,93.3,23.4,N/A,N/A,BALANCED,N/A,📉 Poor,923.45,0.7416666666666667,
PTCIL.NS,PTC Industries Ltd.,2026-05-21,83.0,54.6,83.0,61.6,55.9,38.7,N/A,N/A,BALANCED,N/A,🚀 Strong,15796.0,0.705,
BEL.NS,Bharat Electronics Ltd.,2026-05-21,44.5,77.2,44.5,81.6,69.5,32.0,N/A,N/A,BALANCED,N/A,📉 Poor,413.3,0.7416666666666667,
APARINDS.NS,Apar Industries Ltd.,2026-05-21,15.4,19.3,15.4,57.8,5.0,95.6,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=58%, T=5%, M=96%",📉 Poor,12676.0,0.6966666666666667,
UNIMECH.NS,Billionbrains Garage,2026-05-21,13.2,18.6,13.2,53.5,14.9,99.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=15%, M=99%",📉 Poor,925.3,0.705,
PREMIERENE.NS,Premier Energies Ltd.,2026-05-21,20.0,72.2,20.0,71.9,14.2,98.6,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=99%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.43",📉 Poor,992.4,0.7416666666666667,
ONESOURCE.NS,Onesource Specialty,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
ATHER.NS,Ather Energy Ltd.,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
PAYTM.NS,Paytm,2026-05-21,83.0,52.2,83.0,57.8,34.1,42.2,N/A,N/A,BALANCED,N/A,🚀 Strong,1153.5,0.75,
AMBER.NS,Amber Enterprises,2026-05-21,77.3,83.1,77.3,81.6,93.9,93.2,N/A,N/A,BALANCED,N/A,🚀 Strong,7049.5,0.7416666666666667,
TVSMOTOR.NS,TVS Motor Company,2026-05-21,80.0,65.8,80.0,66.6,87.3,32.5,N/A,N/A,BALANCED,N/A,🚀 Strong,3361.9,0.7416666666666667,
MOTHERSON.NS,Motherson International,2026-05-21,73.3,72.3,73.3,66.7,92.7,46.3,N/A,N/A,BALANCED,N/A,📈 Good,132.17,0.7416666666666667,
FLUOROCHEM.NS,Gujarat Fluorochemicals,2026-05-21,13.2,18.5,13.2,53.5,10.1,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=10%, M=100%",📉 Poor,3750.8,0.705,
ZENTEC.NS,Zen Technologies,2026-05-21,15.4,26.4,15.4,57.8,95.0,95.0,N/A,N/A,BALANCED,N/A,📉 Poor,1604.2,0.7416666666666667,
SUZLON.NS,Suzlon Energy,2026-05-21,20.0,78.1,20.0,81.6,6.4,100.0,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=100%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.72",📉 Poor,52.57,0.6966666666666667,
BAJFINANCE.NS,Bajaj Finance,2026-05-21,74.3,71.3,74.3,66.8,95.0,46.8,N/A,N/A,BALANCED,N/A,📈 Good,923.1,0.75,
PRESTIGE.NS,Prestige Estates,2026-05-21,74.7,64.1,74.7,78.2,92.7,34.5,N/A,N/A,BALANCED,N/A,📈 Good,1387.8,0.705,
BDL.NS,Bharat Dynamics,2026-05-21,13.2,18.5,13.2,53.5,14.2,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=14%, M=100%",📉 Poor,1303.8,0.705,
JAINRES.NS,Jain Resource,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
V2RETAIL.NS,V2 Retail,2026-05-21,72.9,73.7,72.9,81.6,20.2,100.0,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=82%, T=20%, M=100%",📈 Good,227.28,0.705,
OLAELEC.NS,Ola Electric,2026-05-21,13.2,18.2,13.2,53.5,5.0,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=5%, M=100%",📉 Poor,36.96,0.6966666666666667,
GEVERNOVA.NS,GE Vernova T&D,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
RELIGARE.NS,Religare Enterprises,2026-05-21,53.7,45.5,53.7,67.8,12.3,43.8,N/A,N/A,BALANCED,N/A,⚠️  Weak,228.52,0.7142857142857143,
SBIN.NS,State Bank of India,2026-05-21,78.2,62.6,78.2,65.5,78.0,22.6,N/A,N/A,BALANCED,N/A,🚀 Strong,950.9,0.7142857142857143,
INDUSINDBK.NS,Indusind Bank,2026-05-21,55.2,55.4,55.2,65.5,63.1,35.2,N/A,N/A,BALANCED,N/A,➡️  Neutral,897.15,0.7416666666666667,
